response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.05,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.1,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.15,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.05,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.1,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.15,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.05,-0.0082644628099173,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.1,-0.0082644628099173,support_ok,130,19890,1766,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.15,0.4979338842975206,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.05,-0.0082644628099173,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.1,0.487603305785124,support_ok,130,19890,1190,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.15,0.8471074380165289,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.05,0.4318181818181818,support_ok,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.1,0.5578512396694215,support_ok,130,19890,611,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.15,,invalid_lambda,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.8,0.05,0.0002066115702479,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.8,0.1,0.0002066115702479,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.8,0.15,0.0002066115702479,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.85,0.05,0.0002066115702479,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.85,0.1,0.0002066115702479,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.85,0.15,0.0002066115702479,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.9,0.05,0.0002066115702479,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.9,0.1,0.0002066115702479,support_ok,130,19890,2309,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.9,0.15,0.3638429752066116,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.925,0.05,0.0002066115702479,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.925,0.1,0.2212809917355372,support_ok,130,19890,1766,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.925,0.15,0.6407024793388431,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.95,0.05,0.0002066115702479,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.95,0.1,0.6407024793388431,support_ok,130,19890,1190,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.95,0.15,0.865909090909091,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.975,0.05,0.6014462809917356,support_ok,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.975,0.1,,invalid_lambda,130,19890,611,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.975,0.15,,invalid_lambda,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.8,0.05,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.8,0.1,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.8,0.15,0.1095041322314049,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.85,0.05,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.85,0.1,0.0723140495867768,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.85,0.15,0.4834710743801653,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.9,0.05,-0.0082644628099173,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.9,0.1,0.5229132231404999,support_ok,130,21450,2016,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,raw_state,0.9,0.15,0.8099173553719008,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.925,0.05,0.1570247933884297,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.925,0.1,0.7252066115702479,support_ok,130,21450,1513,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,raw_state,0.925,0.15,0.9194214876033058,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.95,0.05,0.543388429752066,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.95,0.1,0.9194214876033058,support_ok,130,21450,1002,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,raw_state,0.95,0.15,,invalid_lambda,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.05,0.8512396694214875,support_ok,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.1,,invalid_lambda,130,21450,500,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.15,,invalid_lambda,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.05,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.1,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.15,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.05,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.1,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.15,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.05,-0.0082644628099173,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.1,-0.0082644628099173,support_ok,130,21450,2016,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.15,0.5144628099173554,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.05,-0.0082644628099173,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.1,0.3946280991735537,support_ok,130,21450,1513,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.15,0.7789256198347106,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.05,-0.0082644628099173,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.1,0.7458677685950412,support_ok,130,21450,1002,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.15,0.5599173553719009,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.05,0.6942148760330578,support_ok,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.1,0.2789256198347107,support_ok,130,21450,500,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.15,,invalid_lambda,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.05,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.1,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.15,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.05,0.0,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.1,0.0,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.15,0.1570247933884297,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.9,0.05,0.0,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.9,0.1,0.2355371900826446,support_ok,130,21450,2016,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.9,0.15,0.615702479338843,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.925,0.05,0.0,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.925,0.1,0.5475206611570248,support_ok,130,21450,1513,100,0,,,,,ci_pending
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.925,0.15,0.8429752066115703,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.95,0.05,0.2933884297520661,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
